id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
882473,Rental unit in New Orleans · ★4.90 · 2 bedrooms · 2 beds · 1 bath,4669579,Mary,Marigny,29.96712,-90.05075,Entire home/apt,125,30,204,26-11-2023,1.54,1,325
885010,Home in New Orleans · ★4.39 · 1 bedroom · 2 beds · 1 bath,4688828,Cleotis,St. Claude,29.97043,-90.0476,Entire home/apt,75,30,114,02-07-2017,0.86,1,0
885246,Condo in New Orleans · ★4.89 · 1 bedroom · 4 beds · 2 baths,4690952,Ashley,Central Business District,29.94499,-90.07222,Entire home/apt,286,30,9,31-12-2022,0.08,1,304
890508,Home in New Orleans · ★4.82 · 2 bedrooms · 2 beds · 2.5 baths,4728090,Roberto,Uptown,29.9205,-90.10807,Entire home/apt,313,30,28,27-05-2019,0.23,1,299
891764,Guesthouse in New Orleans · ★4.82 · 2 bedrooms · 2 beds · 1 bath,897324,Renee,Fairgrounds,29.98209,-90.08431,Entire home/apt,62,30,77,02-10-2022,0.59,1,32
892623,Rental unit in New Orleans · ★4.68 · 1 bedroom · 1 bed · 1 bath,2103275,NOLA Festivals,Fairgrounds,29.97781,-90.07797,Entire home/apt,140,30,69,05-06-2017,0.56,3,365
896343,Rental unit in New Orleans · ★4.82 · 2 bedrooms · 3 beds · 1 bath,4778949,Rob,West Riverside,29.92048,-90.12346,Entire home/apt,252,2,38,22-10-2023,0.31,3,120
896501,Rental unit in New Orleans · ★4.88 · 2 bedrooms · 2 beds · 1 bath,4778949,Rob,Audubon,29.92345,-90.12261,Entire home/apt,219,2,32,21-05-2023,0.26,3,266
896709,Home in New Orleans · ★4.67 · 5 bedrooms · 1 bed · 2 baths,4782391,Marc,Treme - Lafitte,29.97258,-90.07539,Entire home/apt,278,30,50,23-02-2020,0.38,1,365
898632,Home in New Orleans · ★4.94 · 2 bedrooms · 3 beds · 1.5 baths,4370699,Deborah,Audubon,29.94574,-90.11839,Entire home/apt,214,1,84,22-10-2023,0.64,1,287
898685,Rental unit in New Orleans · ★4.91 · 1 bedroom · 1 bed · 1 bath,4796527,Jackson,Central City,29.93694,-90.08212,Entire home/apt,71,1,532,27-11-2023,4.06,3,55
900084,Home in New Orleans · 3 bedrooms · 3 beds · 2.5 baths,4805726,Adam,Uptown,29.93276,-90.10265,Entire home/apt,1000,30,0,0,0,1,0
900210,Rental unit in New Orleans · ★5.0 · 2 bedrooms · 2 beds · 1 bath,4806326,Joey,Freret,29.93552,-90.10923,Entire home/apt,91,30,22,28-11-2023,0.21,2,242
900337,Home in New Orleans · ★4.96 · 2 bedrooms · 2 beds · 1 bath,4807949,Judith,Uptown,29.92074,-90.1069,Entire home/apt,250,2,23,28-11-2022,0.17,1,145
900608,Rental unit in New Orleans · ★4.73 · 1 bedroom · 2 beds · 1 bath,4810197,Jazz,French Quarter,29.95978,-90.06505,Entire home/apt,199,30,15,02-01-2018,0.14,1,0
901827,Rental unit in New Orleans · ★4.84 · 2 bedrooms · 2 beds · 1 bath,11372242,Thiamanti,Central City,29.93668,-90.07614,Entire home/apt,138,2,350,12-11-2023,2.65,44,0
901876,Home in New Orleans · ★4.93 · 1 bedroom · 1 bed · 1.5 baths,4772370,Laurie,Audubon,29.93823,-90.11151,Private room,75,30,299,17-08-2023,2.27,1,63
904990,Rental unit in New Orleans · ★4.86 · 1 bedroom · 1 bed · 1 bath,4841202,Matilde,Lower Garden District,29.94449,-90.06751,Entire home/apt,87,120,7,04-09-2022,0.07,4,62
